1 completed epochs, 8700 batches	Train loss: 0.6841	Train acc: 70.4062	Test loss: 0.6500	Test acc: 73.0049
1 completed epochs, 8800 batches	Train loss: 0.7199	Train acc: 68.5000	Test loss: 0.6416	Test acc: 73.4121
1 completed epochs, 8900 batches	Train loss: 0.6883	Train acc: 71.3438	Test loss: 0.6622	Test acc: 72.8624
1 completed epochs, 9000 batches	Train loss: 0.6617	Train acc: 72.2500	Test loss: 0.6183	Test acc: 74.8066
1 completed epochs, 9100 batches	Train loss: 0.7019	Train acc: 71.2188	Test loss: 0.6342	Test acc: 74.1450
1 completed epochs, 9200 batches	Train loss: 0.6771	Train acc: 71.3750	Test loss: 0.6547	Test acc: 73.1881
1 completed epochs, 9300 batches	Train loss: 0.6883	Train acc: 70.5312	Test loss: 0.6358	Test acc: 73.9414
1 completed epochs, 9400 batches	Train loss: 0.6732	Train acc: 71.6562	Test loss: 0.6258	Test acc: 74.4605
1 completed epochs, 9500 batches	Train loss: 0.6722	Train acc: 71.9062	Test loss: 0.6195	Test acc: 74.6437
1 completed epochs, 9600 batches	Train loss: 0.6519	Train acc: 72.6562	Test loss: 0.6255	Test acc: 74.6437
1 completed epochs, 9700 batches	Train loss: 0.6981	Train acc: 70.2812	Test loss: 0.6305	Test acc: 74.4096
1 completed epochs, 9800 batches	Train loss: 0.6822	Train acc: 71.6562	Test loss: 0.6065	Test acc: 75.4072
1 completed epochs, 9900 batches	Train loss: 0.6783	Train acc: 72.1250	Test loss: 0.6072	Test acc: 75.6820
1 completed epochs, 10000 batches	Train loss: 0.6809	Train acc: 71.6562	Test loss: 0.6430	Test acc: 73.6665
1 completed epochs, 10100 batches	Train loss: 0.6922	Train acc: 71.0312	Test loss: 0.6381	Test acc: 73.9821
1 completed epochs, 10200 batches	Train loss: 0.6597	Train acc: 72.4375	Test loss: 0.5949	Test acc: 75.7024
1 completed epochs, 10300 batches	Train loss: 0.6551	Train acc: 73.0938	Test loss: 0.6383	Test acc: 73.8599
1 completed epochs, 10400 batches	Train loss: 0.6743	Train acc: 71.8125	Test loss: 0.6250	Test acc: 75.1120
1 completed epochs, 10500 batches	Train loss: 0.6527	Train acc: 72.9688	Test loss: 0.6226	Test acc: 74.7252
1 completed epochs, 10600 batches	Train loss: 0.6710	Train acc: 72.1250	Test loss: 0.6318	Test acc: 74.4605
1 completed epochs, 10700 batches	Train loss: 0.6727	Train acc: 71.4375	Test loss: 0.6599	Test acc: 73.1067
1 completed epochs, 10800 batches	Train loss: 0.6588	Train acc: 72.3438	Test loss: 0.6151	Test acc: 74.7862
1 completed epochs, 10900 batches	Train loss: 0.6463	Train acc: 72.5312	Test loss: 0.6204	Test acc: 74.9796
1 completed epochs, 11000 batches	Train loss: 0.6567	Train acc: 73.3438	Test loss: 0.6122	Test acc: 74.7557
1 completed epochs, 11100 batches	Train loss: 0.6834	Train acc: 72.1875	Test loss: 0.6101	Test acc: 75.7329
1 completed epochs, 11200 batches	Train loss: 0.6699	Train acc: 71.1875	Test loss: 0.6080	Test acc: 75.6515
1 completed epochs, 11300 batches	Train loss: 0.6550	Train acc: 72.9688	Test loss: 0.5869	Test acc: 76.5879
1 completed epochs, 11400 batches	Train loss: 0.6465	Train acc: 73.3438	Test loss: 0.6132	Test acc: 75.0611
1 completed epochs, 11500 batches	Train loss: 0.6715	Train acc: 71.7812	Test loss: 0.6076	Test acc: 75.6616
1 completed epochs, 11600 batches	Train loss: 0.6422	Train acc: 73.1250	Test loss: 0.5855	Test acc: 76.4760
